발생시간,발생지역,검토상태,쓰나미여부,영향도,데이터유형,규모,지역,경도,위도,진원깊이,발생일시,cluster,cluster_4,c
1586704801130,"30km SE of Bodie, CA",reviewed,0,149,earthquake,3.1,California,-118.7285,38.0568333,8.27,2020-04-12 15:20:01.130000+00:00,1,1,blue
1585098652015,"109 km SSW of Tual, Indonesia",reviewed,0,298,earthquake,4.4, Indonesia,132.3763,-6.5433,10.0,2020-03-25 01:10:52.015000+00:00,0,0,red
1619160667920,"23km SSE of Fort Irwin, CA",reviewed,0,139,earthquake,3.01,California,-116.6198333,35.0608333,1.97,2021-04-23 06:51:07.920000+00:00,1,1,blue
1629611226844,South Sandwich Islands region,reviewed,0,284,earthquake,4.3,South Sandwich Islands region,-25.5569,-58.0184,45.1,2021-08-22 05:47:06.844000+00:00,0,3,pink
1627069447836,"110 km S of Kuqa, China",reviewed,0,312,earthquake,4.5, China,82.9628,40.7197,10.0,2021-07-23 19:44:07.836000+00:00,0,0,red
1656537324554,"117 km ENE of Neiafu, Tonga",reviewed,0,298,earthquake,4.4, Tonga,-173.0056,-18.1545,10.0,2022-06-29 21:15:24.554000+00:00,0,0,red
1677280679605,South Sandwich Islands region,reviewed,0,271,earthquake,4.2,South Sandwich Islands region,-27.9478,-55.3437,10.0,2023-02-24 23:17:59.605000+00:00,0,0,red
1645802140272,"142 km ENE of ‘Ohonua, Tonga",reviewed,0,354,earthquake,4.8, Tonga,-173.6113,-21.0314,10.0,2022-02-25 15:15:40.272000+00:00,0,0,red
1675095879467,"near the coast of Guerrero, Mexico",reviewed,0,284,earthquake,4.3, Mexico,-100.1983,16.7549,10.0,2023-01-30 16:24:39.467000+00:00,0,0,red
1688010496111,off the coast of Central America,reviewed,0,298,earthquake,4.4,off the coast of Central America,-84.5602,2.2078,10.0,2023-06-29 03:48:16.111000+00:00,0,0,red
1673182144608,"45 km W of Port-Olry, Vanuatu",reviewed,0,354,earthquake,4.8, Vanuatu,166.6611,-15.0854,34.645,2023-01-08 12:49:04.608000+00:00,0,3,pink
1688953251995,"11 km SSE of Asahi, Japan",reviewed,0,326,earthquake,4.6, Japan,140.7052,35.6282,55.392,2023-07-10 01:40:51.995000+00:00,0,3,pink
1596107806851,"86 km SSW of Sand Point, Alaska",reviewed,0,178,earthquake,3.4, Alaska,-160.9752,54.6104,44.43,2020-07-30 11:16:46.851000+00:00,1,1,blue
1654687700593,"10 km NNE of Recodo, Philippines",reviewed,0,271,earthquake,4.2, Philippines,123.7687,12.0386,12.39,2022-06-08 11:28:20.593000+00:00,0,0,red
1684824971564,"281 km E of Vao, New Caledonia",reviewed,0,284,earthquake,4.3, New Caledonia,170.2154,-23.0209,10.0,2023-05-23 06:56:11.564000+00:00,0,0,red
1646190418184,"119 km SW of Bam, Iran",reviewed,0,326,earthquake,4.6, Iran,57.5922,28.2601,10.0,2022-03-02 03:06:58.184000+00:00,0,0,red
1618164529020,Mariana Islands region,reviewed,0,340,earthquake,4.7,Mariana Islands region,147.0211,17.9796,52.31,2021-04-11 18:08:49.020000+00:00,0,3,pink
1646115774611,Kermadec Islands region,reviewed,0,518,earthquake,5.8,Kermadec Islands region,-175.8414,-27.1718,10.0,2022-03-01 06:22:54.611000+00:00,2,2,green
1678107805671,"1 km SE of Elbistan, Turkey",reviewed,0,246,earthquake,4.0, Turkey,37.2109,38.197,14.422,2023-03-06 13:03:25.671000+00:00,0,0,red
1672782153890,"48 km S of Koróni, Greece",reviewed,0,271,earthquake,4.2, Greece,21.9463,36.3591,20.461,2023-01-03 21:42:33.890000+00:00,0,0,red
1588487914407,"104 km SSE of Ierápetra, Greece",reviewed,0,259,earthquake,4.1, Greece,25.9961,34.0895,10.0,2020-05-03 06:38:34.407000+00:00,0,0,red
1682355103163,"Rat Islands, Aleutian Islands, Alaska",reviewed,0,259,earthquake,4.1, Aleutian Islands,178.4967,51.623,27.687,2023-04-24 16:51:43.163000+00:00,0,0,red
1645410784577,"82 km SSW of Unalaska, Alaska",reviewed,1,402,earthquake,5.1, Alaska,-166.7921,53.1517,30.29,2022-02-21 02:33:04.577000+00:00,2,2,green
1670625874917,"112 km NE of Nago, Japan",reviewed,0,298,earthquake,4.4, Japan,128.6212,27.4554,44.174,2022-12-09 22:44:34.917000+00:00,0,3,pink
1671884854205,"21 km S of Coquimbo, Chile",reviewed,0,284,earthquake,4.3, Chile,-71.3507,-30.1438,60.738,2022-12-24 12:27:34.205000+00:00,0,3,pink
1630840063550,"2 km ESE of Guadalupe, Mexico",reviewed,0,234,earthquake,3.9, Mexico,-100.9518,21.7046,10.0,2021-09-05 11:07:43.550000+00:00,1,0,red
1689352393588,"92 km SW of El Palmarcito, Mexico",reviewed,0,416,earthquake,5.2, Mexico,-93.9236,15.0296,35.0,2023-07-14 16:33:13.588000+00:00,2,2,green
1637651849075,"257 km SE of Chiniak, Alaska",reviewed,0,259,earthquake,4.1, Alaska,-148.8239,56.2746,10.0,2021-11-23 07:17:29.075000+00:00,0,0,red
1613225269797,"73 km ENE of Namie, Japan",reviewed,1,1612,earthquake,7.1, Japan,141.7751,37.7265,43.98,2021-02-13 14:07:49.797000+00:00,2,2,green
1636891718812,"63 km NNW of Bandar Abbas, Iran",reviewed,0,2178,earthquake,6.4, Iran,56.0716,27.7266,10.0,2021-11-14 12:08:38.812000+00:00,2,2,green
